district,timestamp,lat,lon,temp,feels_like,pressure,humidity,clouds,wind_speed,wind_deg,weather_main,weather_desc,PM2_5
Phra Nakhon,1741874400,13.7563,100.5018,302.47,309.47,1010,94,86,6.43,184,Clouds,overcast clouds,49.42
Phra Nakhon,1742061600,13.7563,100.5018,302.09,306.12,1010,72,79,4.52,191,Clouds,broken clouds,31.97
Bang Khen,1741874400,13.8644,100.5843,305.54,312.5,1010,64,91,6.28,186,Clouds,overcast clouds,49.42
Bang Khen,1742007600,13.8644,100.5843,307.49,314.49,1012,58,28,3.85,187,Clouds,scattered clouds,110.33
Bang Khen,1742234400,13.8644,100.5843,302.59,307.96,1011,75,20,3.6,180,Clouds,few clouds,51.64
Bang Kapi,1742331600,13.7554,100.6309,302.33,303.58,1012,54,53,4.06,90,Clouds,broken clouds,64.33
Bang Kapi,1742396400,13.7554,100.6309,303.43,303.84,1016,45,100,5.51,84,Clouds,overcast clouds,59.04
Pom Prap Sattru Phai,1742065200,13.7504,100.5097,301.2,304.62,1009,75,100,4.53,192,Clouds,overcast clouds,31.22
Lat Krabang,1741953600,13.7262,100.7562,306.49,313.49,1011,74,5,5.09,188,Clear,clear sky,16.32
Lat Krabang,1742328000,13.7262,100.7562,301.96,303.44,1012,57,20,2.57,110,Clouds,few clouds,68.81
Bangkok Yai,1742083200,13.7314,100.4806,301.13,304.6,1011,76,98,3.05,179,Clouds,overcast clouds,24.73
Huai Khwang,1742202000,13.7788,100.5759,308.72,315.64,1008,51,100,4.86,186,Clouds,overcast clouds,35.08
Huai Khwang,1742295600,13.7788,100.5759,309.05,315.59,1008,49,62,3.31,236,Clouds,broken clouds,43.04
Khlong San,1741939200,13.7348,100.5042,308.09,313.68,1008,50,50,4.94,184,Clouds,scattered clouds,24.18
Bangkok Noi,1741896000,13.7634,100.4735,301.27,304.33,1009,72,60,3.55,187,Clouds,broken clouds,37.29
Bangkok Noi,1742047200,13.7634,100.4735,303.13,307.44,1010,67,51,4.64,177,Clouds,broken clouds,21.72
Bangkok Noi,1742212800,13.7634,100.4735,305.43,310.57,1009,59,83,5.55,162,Clouds,broken clouds,27.55
Bang Khun Thian,1741993200,13.6703,100.4578,300.13,302.4,1010,75,11,3.76,179,Clouds,few clouds,6.28
Nong Khaem,1742133600,13.7153,100.3792,303.71,309.05,1010,68,33,5.07,163,Clouds,scattered clouds,50.35
Nong Khaem,1742266800,13.7153,100.3792,306.48,312.42,1014,57,37,3.17,127,Rain,light rain,109.17
Nong Khaem,1742277600,13.7153,100.3792,309.26,316.26,1011,52,48,2.88,174,Clouds,scattered clouds,112.8
Rat Burana,1742076000,13.6865,100.4925,301.13,304.75,1009,77,100,3.65,183,Clouds,overcast clouds,6.91
Din Daeng,1742198400,13.7663,100.5562,307.85,314.29,1008,53,100,5.49,192,Clouds,overcast clouds,44.36
Bueng Kum,1741827600,13.7895,100.6558,302.63,309.63,1011,91,40,3.6,100,Clouds,scattered clouds,73.25
Bueng Kum,1742202000,13.7895,100.6558,308.54,313.57,1007,47,40,4.63,190,Clouds,scattered clouds,27.77
Bang Sue,1741896000,13.8009,100.5297,301.33,304.31,1009,71,58,3.44,188,Clouds,broken clouds,60.05
