Province,Vehicle type,Age,Technology,Fuel,Occupancy rate,Vehicle emission,Energy production
Bangkok,Skytrain,0,0,0,42,0.00E+00,3.24E-06
Bangkok,Passenger Car,<1,Euro 4,Gasoline,1.15,9.57E-07,2.07E-05
Bangkok,Passenger Car,<1,Euro 4,B7,1.15,2.47E-05,1.17E-05
Bangkok,Passenger Car,<1,Euro 4,B20,1.15,2.18E-05,1.17E-05
Bangkok,Passenger Car,<1,Euro 4,LPG,1.15,9.57E-07,1.35E-05
Bangkok,Passenger Car,<1,Euro 4,CNG,1.15,9.57E-07,2.08E-06
Bangkok,Passenger Car,1,Euro 4,Gasoline,1.15,9.57E-07,2.07E-05
Bangkok,Passenger Car,1,Euro 4,B7,1.15,2.47E-05,1.17E-05
Bangkok,Passenger Car,1,Euro 4,B20,1.15,0.00E+00,1.17E-05
Bangkok,Passenger Car,1,Euro 4,LPG,1.15,9.57E-07,1.35E-05
Bangkok,Passenger Car,1,Euro 4,CNG,1.15,9.57E-07,2.08E-06
Bangkok,Passenger Car,2,Euro 4,Gasoline,1.15,9.57E-07,2.07E-05
Bangkok,Passenger Car,2,Euro 4,B7,1.15,2.47E-05,1.17E-05
Bangkok,Passenger Car,2,Euro 4,B20,1.15,0.00E+00,1.17E-05
Bangkok,Passenger Car,2,Euro 4,LPG,1.15,9.57E-07,1.35E-05
Bangkok,Passenger Car,2,Euro 4,CNG,1.15,9.57E-07,2.08E-06
Bangkok,Passenger Car,3,Euro 4,Gasoline,1.15,9.57E-07,2.07E-05
Bangkok,Passenger Car,3,Euro 4,B7,1.15,2.47E-05,1.17E-05
Bangkok,Passenger Car,3,Euro 4,B20,1.15,0.00E+00,1.17E-05
Bangkok,Passenger Car,3,Euro 4,LPG,1.15,9.57E-07,1.35E-05
Bangkok,Passenger Car,3,Euro 4,CNG,1.15,9.57E-07,2.08E-06
Bangkok,Passenger Car,4,Euro 4,Gasoline,1.15,9.57E-07,2.07E-05
Bangkok,Passenger Car,4,Euro 4,B7,1.15,2.47E-05,1.17E-05
Bangkok,Passenger Car,4,Euro 4,B20,1.15,0.00E+00,1.17E-05
Bangkok,Passenger Car,4,Euro 4,LPG,1.15,9.57E-07,1.35E-05
Bangkok,Passenger Car,4,Euro 4,CNG,1.15,9.57E-07,2.08E-06
Bangkok,Passenger Car,5,Euro 4,Gasoline,1.15,9.57E-07,2.07E-05
Bangkok,Passenger Car,5,Euro 4,B7,1.15,2.47E-05,1.17E-05
Bangkok,Passenger Car,5,Euro 4,B20,1.15,0.00E+00,1.17E-05
Bangkok,Passenger Car,5,Euro 4,LPG,1.15,9.57E-07,1.35E-05
Bangkok,Passenger Car,5,Euro 4,CNG,1.15,9.57E-07,2.08E-06
Bangkok,Passenger Car,6,Euro 4,Gasoline,1.15,9.57E-07,2.07E-05
Bangkok,Passenger Car,6,Euro 4,B7,1.15,2.47E-05,1.17E-05
Bangkok,Passenger Car,6,Euro 4,B20,1.15,0.00E+00,1.17E-05
Bangkok,Passenger Car,6,Euro 4,LPG,1.15,9.57E-07,1.35E-05
Bangkok,Passenger Car,6,Euro 4,CNG,1.15,9.57E-07,2.08E-06
Bangkok,Passenger Car,7,Euro 4,Gasoline,1.15,9.57E-07,2.07E-05
Bangkok,Passenger Car,7,Euro 4,B7,1.15,2.47E-05,1.17E-05
Bangkok,Passenger Car,7,Euro 4,B20,1.15,0.00E+00,1.17E-05
Bangkok,Passenger Car,7,Euro 4,LPG,1.15,9.57E-07,1.35E-05
Bangkok,Passenger Car,7,Euro 4,CNG,1.15,9.57E-07,2.08E-06
Bangkok,Passenger Car,8,Euro 3,Gasoline,1.15,9.57E-07,2.07E-05
Bangkok,Passenger Car,8,Euro 3,B7,1.15,3.07E-05,1.17E-05
Bangkok,Passenger Car,8,Euro 3,B20,1.15,0.00E+00,1.17E-05
Bangkok,Passenger Car,8,Euro 3,LPG,1.15,9.57E-07,1.35E-05
Bangkok,Passenger Car,8,Euro 4,CNG,1.15,9.57E-07,2.08E-06
Bangkok,Passenger Car,9,Euro 3,Gasoline,1.15,9.57E-07,2.07E-05
Bangkok,Passenger Car,9,Euro 3,B7,1.15,3.07E-05,1.17E-05
Bangkok,Passenger Car,9,Euro 3,B20,1.15,0.00E+00,1.17E-05
Bangkok,Passenger Car,9,Euro 3,LPG,1.15,9.57E-07,1.35E-05
Bangkok,Passenger Car,9,Euro 4,CNG,1.15,9.57E-07,2.08E-06
Bangkok,Passenger Car,10,Euro 3,Gasoline,1.15,9.57E-07,2.07E-05
Bangkok,Passenger Car,10,Euro 3,B7,1.15,3.07E-05,1.17E-05
Bangkok,Passenger Car,10,Euro 3,B20,1.15,0.00E+00,1.17E-05
Bangkok,Passenger Car,10,Euro 3,LPG,1.15,9.57E-07,1.35E-05
Bangkok,Passenger Car,10,Euro 4,CNG,1.15,9.57E-07,2.08E-06
Bangkok,Passenger Car,11 to 15,Euro 3 + 2,Gasoline,1.15,1.15E-06,2.07E-05
Bangkok,Passenger Car,11 to 15,Euro 3 + 2,B7,1.15,3.32E-05,1.17E-05
Bangkok,Passenger Car,11 to 15,Euro 3 + 2,B20,1.15,0.00E+00,1.17E-05
Bangkok,Passenger Car,11 to 15,Euro 3 + 2,LPG,1.15,1.15E-06,1.35E-05
Bangkok,Passenger Car,11 to 15,Euro 4,CNG,1.15,9.57E-07,2.08E-06
Bangkok,Passenger Car,16 to 20,Euro 2 + 1,Gasoline,1.15,1.91E-06,2.07E-05
Bangkok,Passenger Car,16 to 20,Euro 2 + 1,B7,1.15,5.23E-05,1.17E-05
Bangkok,Passenger Car,16 to 20,Euro 2 + 1,B20,1.15,0.00E+00,1.17E-05
Bangkok,Passenger Car,16 to 20,Euro 2 + 1,LPG,1.15,1.91E-06,1.35E-05
Bangkok,Passenger Car,16 to 20,Euro 4,CNG,1.15,9.57E-07,2.08E-06
Bangkok,Passenger Car,>20,Euro 1,Gasoline,1.15,1.91E-06,2.07E-05
Bangkok,Passenger Car,>20,Euro 1,B7,1.15,6.61E-05,1.17E-05
Bangkok,Passenger Car,>20,Euro 1,B20,1.15,0.00E+00,1.17E-05
Bangkok,Passenger Car,>20,Euro 1,LPG,1.15,1.91E-06,1.35E-05
Bangkok,Passenger Car,>20,Euro 4,CNG,1.15,9.57E-07,2.08E-06
Bangkok,Passenger Pick up,<1,Euro 4,Gasoline,1.2,9.17E-07,2.71E-05
Bangkok,Passenger Pick up,<1,Euro 4,B7,1.2,3.08E-05,1.43E-05
Bangkok,Passenger Pick up,<1,Euro 4,B20,1.2,2.73E-05,1.43E-05
Bangkok,Passenger Pick up,<1,Euro 4,LPG,1.2,9.17E-07,1.24E-05
Bangkok,Passenger Pick up,<1,Euro 4,CNG,1.2,9.17E-07,1.91E-06
Bangkok,Passenger Pick up,1,Euro 4,Gasoline,1.2,9.17E-07,2.71E-05
Bangkok,Passenger Pick up,1,Euro 4,B7,1.2,3.08E-05,1.43E-05
Bangkok,Passenger Pick up,1,Euro 4,B20,1.2,0.00E+00,1.43E-05
