district,timestamp,lat,lon,temp,feels_like,pressure,humidity,clouds,wind_speed,wind_deg,weather_main,weather_desc,PM2_5,FormattedDateTime
Phra Khanong,1741795200,13.7088,100.6022,303.12,309.37,1009,75,100,6.77,185,Clouds,overcast clouds,36.13,2025-03-12 04:00:00 PM
Phra Khanong,1741798800,13.7088,100.6022,302.12,306.97,1009,76,94,5.96,189,Clouds,overcast clouds,34.8,2025-03-12 05:00:00 PM
Phra Khanong,1741802400,13.7088,100.6022,302.12,306.77,1009,75,95,5.44,196,Clouds,overcast clouds,36.31,2025-03-12 06:00:00 PM
Phra Khanong,1741806000,13.7088,100.6022,302.12,306.97,1008,76,15,4.95,197,Clouds,few clouds,39.42,2025-03-12 07:00:00 PM
Phra Khanong,1741809600,13.7088,100.6022,302.12,306.97,1008,76,14,4.22,196,Clouds,few clouds,42.85,2025-03-12 08:00:00 PM
Phra Khanong,1741813200,13.7088,100.6022,302.12,307.38,1008,78,24,4.19,188,Clouds,few clouds,46.6,2025-03-12 09:00:00 PM
Phra Khanong,1741816800,13.7088,100.6022,302.12,307.38,1008,78,42,4.08,189,Clouds,scattered clouds,51.59,2025-03-12 10:00:00 PM
Phra Khanong,1741820400,13.7088,100.6022,302.12,307.38,1008,78,54,4.15,191,Clouds,broken clouds,58.07,2025-03-12 11:00:00 PM
Phra Khanong,1741827600,13.7088,100.6022,301.12,303.89,1011,71,99,3.24,179,Clouds,overcast clouds,73.25,2025-03-13 01:00:00 AM
Phra Khanong,1741870800,13.7088,100.6022,299.12,299.12,1009,68,66,6.38,179,Clouds,broken clouds,46.83,2025-03-13 01:00:00 PM
Phra Khanong,1741831200,13.7088,100.6022,305.17,311.53,1011,64,100,3.87,180,Clouds,overcast clouds,70.99,2025-03-13 02:00:00 AM
Phra Khanong,1741874400,13.7088,100.6022,300.12,301.96,1010,70,84,6.86,183,Clouds,broken clouds,49.42,2025-03-13 02:00:00 PM
Phra Khanong,1741834800,13.7088,100.6022,306.34,312.43,1012,58,96,4.18,187,Clouds,overcast clouds,66.7,2025-03-13 03:00:00 AM
Phra Khanong,1741878000,13.7088,100.6022,300.12,301.96,1010,70,79,6.22,186,Clouds,broken clouds,51.02,2025-03-13 03:00:00 PM
Phra Khanong,1741838400,13.7088,100.6022,304.39,306.81,1011,53,92,4.3,190,Clouds,overcast clouds,43.16,2025-03-13 04:00:00 AM
Phra Khanong,1741881600,13.7088,100.6022,301.9,305.69,1010,72,75,6.06,191,Clouds,broken clouds,51.28,2025-03-13 04:00:00 PM
Phra Khanong,1741842000,13.7088,100.6022,305.6,308.1,1010,49,87,4.9,184,Clouds,overcast clouds,35.65,2025-03-13 05:00:00 AM
Phra Khanong,1741885200,13.7088,100.6022,301.75,305.19,1010,71,45,5.19,197,Clouds,scattered clouds,51.04,2025-03-13 05:00:00 PM
Phra Khanong,1741845600,13.7088,100.6022,307.85,312.04,1009,47,82,4.81,186,Clouds,broken clouds,32.88,2025-03-13 06:00:00 AM
Phra Khanong,1741888800,13.7088,100.6022,301.52,304.86,1010,72,8,4.62,198,Clear,clear sky,51.6,2025-03-13 06:00:00 PM
Phra Khanong,1741849200,13.7088,100.6022,308.47,313.41,1008,47,39,5.1,188,Clouds,scattered clouds,31.87,2025-03-13 07:00:00 AM
Phra Khanong,1741892400,13.7088,100.6022,301.36,304.67,1009,73,20,4.16,192,Clouds,few clouds,57.47,2025-03-13 07:00:00 PM
Phra Khanong,1741852800,13.7088,100.6022,308.42,313.29,1007,47,70,5.21,184,Clouds,broken clouds,30.6,2025-03-13 08:00:00 AM
Phra Khanong,1741896000,13.7088,100.6022,301.2,304.47,1009,74,58,3.78,189,Clouds,broken clouds,60.05,2025-03-13 08:00:00 PM
Phra Khanong,1741856400,13.7088,100.6022,308.1,312.95,1006,48,80,5.06,182,Clouds,broken clouds,27.28,2025-03-13 09:00:00 AM
Phra Khanong,1741899600,13.7088,100.6022,301.12,304.3,1009,74,72,3.71,181,Clouds,broken clouds,55.89,2025-03-13 09:00:00 PM
Phra Khanong,1741860000,13.7088,100.6022,307.03,311.62,1006,51,84,5.09,177,Clouds,broken clouds,30.35,2025-03-13 10:00:00 AM
Phra Khanong,1741903200,13.7088,100.6022,301.08,304.35,1009,75,79,3.26,184,Clouds,broken clouds,50.92,2025-03-13 10:00:00 PM
Phra Khanong,1741863600,13.7088,100.6022,304.82,309.18,1007,59,88,5.42,175,Clouds,overcast clouds,38.5,2025-03-13 11:00:00 AM
Phra Khanong,1741906800,13.7088,100.6022,300.85,303.98,1010,76,83,2.74,192,Clouds,broken clouds,54.02,2025-03-13 11:00:00 PM
Phra Khanong,1741824000,13.7088,100.6022,300.12,302.55,1009,77,61,3.58,194,Clouds,broken clouds,68.69,2025-03-13 12:00:00 AM
Phra Khanong,1741867200,13.7088,100.6022,301.69,304.28,1008,66,81,5.69,175,Rain,light rain,43.34,2025-03-13 12:00:00 PM

